"_1DNjI href","_3vnjf src","_2Ks63","YBbhy","_2poNJ","_2VQu4","_2jcGx","_2cbZ2 href"
"","https://apollo.olx.in/v1/files/hrwgsl1kqr0e-IN/image;s=150x0;q=50;f=webp;","₹ 25,000","3 BHK - 2 Bathroom - 883 sqft","3BHK FULLY FURNISHED FLAT NEAR CU","Khanpur, Kharar","Jun 02",""
"","https://apollo.olx.in/v1/files/r6vpx6qapb993-IN/image;s=150x0;q=50;f=webp;","₹ 20,000","3 BHK - 2 Bathroom - 1400 sqft","Fully Furnished 3BHK Flat for rent in very good condition.","Khanpur, Kharar","Jun 02",""
"","https://apollo.olx.in/v1/files/tigah8suycd42-IN/image;s=150x0;q=50;f=webp;","₹ 20,500","2 BHK - 2 Bathroom - 720 sqft","2BHK, NEAR CHANDIGARH UNIVERSITY, DIRECT OWNER","Khanpur, Kharar","Jun 27",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1000-sq-ft-in-sector-123-mohali-iid-1847870719","https://apollo.olx.in/v1/files/21f583o9l1bn3-IN/image;s=150x0;q=50;f=webp;","₹ 15,000","1 BHK - 1 Bathroom - 1000 sqft","1BHK (OWNER FREE) FULLY FURNISHED SECTOR 123 NEW SUNNY ENCLAVE","Sector 123, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1573-sq-ft-in-sector-115-mohali-iid-1846959029","https://apollo.olx.in/v1/files/w1uwu6ekwvi72-IN/image;s=150x0;q=50;f=webp;","₹ 19,500","2 BHK - 2 Bathroom - 1573 sqft","2bhk fully furnished","Sector 115, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1000-sq-ft-in-airport-road-mohali-iid-1847715041","https://apollo.olx.in/v1/files/wmhgs5c9a1pc2-IN/image;s=150x0;q=50;f=webp;","₹ 18,500","2 BHK - 2 Bathroom - 1000 sqft","2bhk furnishesd","Airport Road, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1785-sq-ft-in-sector-117-mohali-iid-1848150671","","₹ 25,500","3 BHK - 3 Bathroom - 1785 sqft","3bhk filly furnished brand new flat","Sector 117, Mohali","Today","https://apollo.olx.in/v1/files/gzk222yza1ag1-IN/image;s=150x0;q=50;f=webp;"
"","","₹ 23,000","2 BHK - 2 Bathroom - 1150 sqft","2BHK SEMI FURNISHED INDEPENDENT KOTHI FLOOR  AIRPORT ROAD","Airport Road, Mohali","Today","https://apollo.olx.in/v1/files/ij5diw6hy2yp1-IN/image;s=150x0;q=50;f=webp;"
"","https://apollo.olx.in/v1/files/xjuhvibyeh08-IN/image;s=150x0;q=50;f=webp;","₹ 22,000","2 BHK - 2 Bathroom - 1050 sqft","2bhk furnished with 2Ac Family working Shimla Appartment sec 126 Kha","Sector 126, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1700-sq-ft-in-garden-colony-kharar-iid-1848659453","","₹ 18,000","2 BHK - 2 Bathroom - 1700 sqft","2Bhk independent rooms","Garden Colony, Kharar","Today","https://apollo.olx.in/v1/files/6rq0lhzofn523-IN/image;s=150x0;q=50;f=webp;"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1700-sq-ft-in-garden-colony-kharar-iid-1848659453","₹ 18,000","2 BHK - 2 Bathroom - 1700 sqft","2Bhk independent rooms","Garden Colony, Kharar","Today","",""
